Source,Target,Type
ALKEON CAPITAL,DRATA,directed
ALL IRON VENTURES,PREPLY,directed
ALLEYCORP,SPRING HEALTH,directed
ALLIANCEBERNSTEIN,CONCERTAI,directed
ALLISON TRANSMISSION HOLDINGS,AUTOTECH VENTURES,directed
ALMA MUNDI VENTURES,BOLTTECH,directed
ALMAZ CAPITAL,YANDEX,directed
ALOSTAR,HERCULES CAPITAL,directed
ALPHA EDISON,BAMBEE,directed
ALPHA EDISON,KIN INSURANCE,directed
ALPHA JWC VENTURES,SAYURBOX,directed
ALPHA JWC VENTURES,FINACCEL,directed
ALPHA JWC VENTURES,AJAIB,directed
ALPHA JWC VENTURES,FUNDING SOCIETIES,directed
ALPHA SIGMA CAPITAL,CELSIUS NETWORK,directed
ALPHA SQUARE GROUP,BITMART,directed
ALPHA WAVE GLOBAL,CLASSPLUS,directed
ALPHA WAVE GLOBAL,OLA ELECTRIC,directed
ALPHA WAVE GLOBAL,OXYZO,directed
ALPHA WAVE GLOBAL,OFBUSINESS,directed
ALPHA WAVE GLOBAL,1K KIRANA BAZAAR,directed
ALPHA WAVE GLOBAL,AVAIL FINANCE,directed
ALPHA WAVE GLOBAL,AYE FINANCE,directed
ALPHABET,SPINLAUNCH,directed
ALTAIR CAPITAL,SQUIRE,directed
ALTAIR CAPITAL,OPENWEB,directed
ALTERIA CAPITAL,AVAIL FINANCE,directed
ALTERIA CAPITAL,VOGO,directed
ALTERIA CAPITAL,WIZ FREIGHT,directed
ALTERIA CAPITAL,MFINE,directed
ALTERIA CAPITAL,MEDIBUDDY,directed
ALTO PARTNERS MULTIFAMILY OFFICE,SNAPCHAT,directed
ALTO PARTNERS MULTIFAMILY OFFICE,SKUAD,directed
ALTOS VENTURES,KRAFTON,directed
ALTOS VENTURES,DEMANDBASE,directed
ALTOS VENTURES,DELIVERY HERO,directed
ALVEN,AKENEO,directed
AMADEUS CAPITAL PARTNERS,INDIAMART,directed
AMADEUS CAPITAL PARTNERS,FIVEAI,directed
AMAZON,TWILIO,directed
AMAZON,RIVIAN,directed
AMBER GROUP,NEAR PROTOCOL,directed
AMBER GROUP,MINA,directed
AMBER GROUP,ROCKX,directed
AMC NETWORKS,FUBOTV,directed
AMC THEATRES,HYCROFT MINING,directed
AME CLOUD VENTURES,ZUME,directed
AME CLOUD VENTURES,BIRDEYE,directed
AME CLOUD VENTURES,EAT JUST,directed
AME CLOUD VENTURES,TREASURE DATA,directed
AMERICAN AXLE MANUFACTURING,AUTOTECH VENTURES,directed
AMERICAN EXPRESS VENTURES,MOBIKWIK,directed
AMERICAN EXPRESS VENTURES,EXTEND,directed
AMERICAN EXPRESS VENTURES,CLIP,directed
AMERICAN FAMILY VENTURES,GENER8TOR,directed
AMERICAN RESCUE PLAN,COMCAST,directed
AMERICAN RESCUE PLAN,VERIZON,directed
AMICUS CAPITAL,MCAFFEINE,directed
AMINO CAPITAL,EQUITYZEN,directed
AMIT GUPTA,KRISTALAI,directed
AMPERE COMPUTING,RIGETTI COMPUTING,directed
AMPLIFY PARTNERS,DATADOG,directed
AMPLIFY PARTNERS,FASTLY,directed
AMPLIFY PARTNERS,HEX TECHNOLOGIES,directed
AMPLIFYLA,TRACE,directed
AMPLIFYLA,FLOQAST,directed
ANCHORAGE,FIGMENT,directed
ANDERA PARTNERS,REVIRAL,directed
ANDREESSEN HOROWITZ,ANGELLIST,directed
ANDREESSEN HOROWITZ,TWITTER,directed
ANDREESSEN HOROWITZ,LAYERZERO LABS,directed
ANDREESSEN HOROWITZ,COINBASE,directed
ANDREESSEN HOROWITZ,OKTA,directed
ANDREESSEN HOROWITZ,AVA LABS,directed
ANDREESSEN HOROWITZ,LYFT,directed
ANDREESSEN HOROWITZ,COINSWITCH KUBER,directed
ANDREESSEN HOROWITZ,IMPROBABLE,directed
ANDREESSEN HOROWITZ,HELIUM,directed
ANDREESSEN HOROWITZ,FANATICS,directed
ANDREESSEN HOROWITZ,JEEVES,directed
ANDREESSEN HOROWITZ,SOLANA,directed
ANDREESSEN HOROWITZ,BLOCPOWER,directed
ANDREESSEN HOROWITZ,HADRIAN,directed
ANDREESSEN HOROWITZ,SUBSTACK,directed
ANDREESSEN HOROWITZ,ROBLOX,directed
ANDREESSEN HOROWITZ,STRIPE,directed
ANDREESSEN HOROWITZ,DIGITALOCEAN,directed
ANDREESSEN HOROWITZ,BOX,directed
ANDREESSEN HOROWITZ,CURRENT,directed
ANDREESSEN HOROWITZ,WORLDCOIN,directed
ANDREESSEN HOROWITZ,CAPITOLIS,directed
ANDREESSEN HOROWITZ,WONDERSCHOOL,directed
ANDREESSEN HOROWITZ,OVERWOLF,directed
ANDREESSEN HOROWITZ,BUZZFEED,directed
ANDREESSEN HOROWITZ,EVERYREALM,directed
ANDREESSEN HOROWITZ,GREENLIGHT,directed
ANDREESSEN HOROWITZ,SEASON HEALTH,directed
ANDREESSEN HOROWITZ,APTOS,directed
ANDREESSEN HOROWITZ,RUTTER,directed
ANDREESSEN HOROWITZ,LATITUD,directed
ANDREESSEN HOROWITZ,HEALTH IQ,directed
ANDREESSEN HOROWITZ,SPOTON,directed
ANDREESSEN HOROWITZ,SPRING,directed
ANDREESSEN HOROWITZ,TANIUM,directed
ANDREESSEN HOROWITZ,ANCHORAGE,directed
ANDREESSEN HOROWITZ,PINDROP,directed
ANDREESSEN HOROWITZ,FLOCK HOMES,directed
ANDREESSEN HOROWITZ,OCULUS,directed
ANDREESSEN HOROWITZ,ARWEAVE,directed
ANDREESSEN HOROWITZ,FLEXPORT,directed
ANDREESSEN HOROWITZ,PEOPLEAI,directed
ANDREESSEN HOROWITZ,PAGERDUTY,directed
ANDREESSEN HOROWITZ,WORKRISE,directed
ANDREESSEN HOROWITZ,DEEPCELL,directed
ANDREESSEN HOROWITZ,PAYRAILS,directed
ANDREESSEN HOROWITZ,OMADA HEALTH,directed
ANDREESSEN HOROWITZ,FIVETRAN,directed
ANDREESSEN HOROWITZ,TRUNK,directed
ANDREESSEN HOROWITZ,JUMIO,directed
ANDREESSEN HOROWITZ,FREENOME,directed
ANDREESSEN HOROWITZ,CROSS RIVER,directed
ANDREESSEN HOROWITZ,BLOCKTOWER CAPITAL,directed
ANDREESSEN HOROWITZ,DFINITY,directed
ANDREESSEN HOROWITZ,ZYNGA,directed
ANDREESSEN HOROWITZ,OPTIMISM,directed
ANDREESSEN HOROWITZ,HEX TECHNOLOGIES,directed
ANDREESSEN HOROWITZ,DAPPER LABS,directed
ANDREESSEN HOROWITZ,ROBINHOOD,directed
ANDREESSEN HOROWITZ,CHARTHOP,directed
ANDREESSEN HOROWITZ,RIGETTI COMPUTING,directed
ANDREESSEN HOROWITZ,SIFT,directed
ANDREESSEN HOROWITZ,KOMODO HEALTH,directed
ANDREESSEN HOROWITZ,OPENSEA,directed
ANDREESSEN HOROWITZ,WHATNOT,directed
ANDREESSEN HOROWITZ,EVERLAW,directed
ANDREESSEN HOROWITZ,FIRSTBASE,directed
ANDREESSEN HOROWITZ,FOURSQUARE,directed
ANDREESSEN HOROWITZ,MUX,directed
ANDREESSEN HOROWITZ,REFORGE,directed
ANDREESSEN HOROWITZ,GROUPON,directed
ANDREESSEN HOROWITZ,ASTRANIS,directed
ANDREESSEN HOROWITZ,DATANOMIK,directed
ANDREESSEN HOROWITZ,RIPPLE,directed
ANDREESSEN HOROWITZ,POLYCHAIN,directed
ANDREESSEN HOROWITZ,FUNDERSCLUB,directed
ANDREESSEN HOROWITZ,AFFIRM,directed
ANDREESSEN HOROWITZ,SLACK,directed
ANDREESSEN HOROWITZ,YIELD GUILD GAMES,directed
ANDREESSEN HOROWITZ,PROTOCOL LABS,directed
ANGELLIST,NEWTON SCHOOL,directed
ANGELLIST,CHINGARI,directed
ANGELLIST,OPEN,directed
ANGELLIST,BLOCKSTREAM,directed
ANIMOCA BRANDS,POLYGON,directed
ANIMOCA BRANDS,AXIE INFINITY,directed
ANIMOCA BRANDS,LEDGER,directed
ANIMOCA BRANDS,YUGA LABS,directed
ANIMOCA BRANDS,GOQII,directed
ANIMOCA BRANDS,EVERYREALM,directed
ANIMOCA BRANDS,DECENTRALAND,directed
ANIMOCA BRANDS,COMMUNITY GAMING,directed
ANIMOCA BRANDS,CONSENSYS,directed
ANIMOCA BRANDS,GUILDFI,directed
ANIMOCA BRANDS,YIELD GUILD GAMES SOUTHEAST ASIA,directed
ANIMOCA BRANDS,BITSCRUNCH,directed
ANIMOCA BRANDS,DAPPER LABS,directed
ANIMOCA BRANDS,OPENSEA,directed
ANIMOCA BRANDS,NOTHING,directed
ANIMOCA BRANDS,YIELD GUILD GAMES,directed
ANRI,GOJO COMPANY,directed
ANTARES CAPITAL,VESTAR CAPITAL PARTNERS,directed
ANTHEMIS GROUP,ETORO,directed
ANTHEMIS GROUP,TRUELAYER,directed
ANTHEMIS GROUP,AZIMO,directed
ANTHEMIS GROUP,APOLLO AGRICULTURE,directed
ANTHEMIS GROUP,SYDECAR,directed
ANTHEMIS GROUP,SKUAD,directed
ANTHEMIS GROUP,AGENTSYNC,directed
ANTHEMIS GROUP,SEEDCAMP,directed
AOL,AMAZON,directed
APERTURE VENTURE PARTNERS,BRISTOL MYERS SQUIBB,directed
APHRIA,SOL GLOBAL INVESTMENTS,directed
APOLLO,LIQUIDITY,directed
APOLLO,CAIS,directed
APOLLO,ANCHORAGE,directed
APOLLO,FIGURE,directed
APOLLO,AIRBNB,directed
APPLE,RAMP,directed
APPLE,ZOMATO,directed
APPLE,CORNING,directed
APPLE,DIDI,directed
APPLE,ADOBE,directed
APPLIED MATERIALS,SES,directed
ARAMEX INTERNATIONAL,WHAT3WORDS,directed
ARCA,GALAXY DIGITAL,directed
ARCA,ARCA,directed
ARCTERN VENTURES,EMITWISE,directed
ARGO BLOCKCHAIN,WONDERFI,directed
ARK INVESTMENT MANAGEMENT,ADAPTIVE BIOTECHNOLOGIES,directed
ARKSTREAM CAPITAL,DORAHACKS,directed
ARM HOLDINGS,AMPERE COMPUTING,directed
ARPAE,ARZEDA,directed
ARROWMARK PARTNERS,FYLLO,directed
ARTHUR ROCK CO,INTEL,directed
ASCENSION,WAGESTREAM,directed
ASCENSION,CREDIT KUDOS,directed
ASCENT CAPITAL,ENKASH,directed
ASCENT CAPITAL,RBL BANK,directed
ASTANOR VENTURES,IUNU,directed
ASYMMETRY VENTURES,PIPEFY,directed
ASYMMETRY VENTURES,EVOLUTIONIQ,directed
ASYMMETRY VENTURES,DAPIO,directed
ATT,STARTX STANFORDSTARTX FUND,directed
ATLANTIC BRIDGE,SELECTOR,directed
ATLANTIC LABS,CHOCO,directed
ATLAS VENTURE,DRAFTKINGS,directed
ATN INTERNATIONAL,VERIZON,directed
ATOMICO,GYMPASS,directed
ATOMICO,CHANNELENGINE,directed
ATOMICO,LILIUM,directed
AUGMENTUM FINTECH,GROVER,directed
AUGMENTUM FINTECH,ONFIDO,directed
AUGMENTUM FINTECH,PARAFI CAPITAL,directed
AUGUST CAPITAL,FASTLY,directed
AUGUST CAPITAL,SPLUNK,directed
AUSTIN VENTURES,FLASH,directed
AUTODESK,CARBON,directed
AUTOTECH VENTURES,LYFT,directed
AUTOTECH VENTURES,SWVL TECHNOLOGIES,directed
AVA LABS,FIGMENT,directed
AVA LABS,SECURITIZE,directed
AVENIR GROWTH CAPITAL,PAX8,directed
AVENIR GROWTH CAPITAL,CURRENT,directed
AVIVA INVESTORS,FOUNDERS FACTORY,directed
AXA VENTURE PARTNERS,POLICYGENIUS,directed
AXA VENTURE PARTNERS,SECURITYSCORECARD,directed
AXA VENTURE PARTNERS,DID,directed
AXILOR VENTURES,URBANPIPER,directed
AXILOR VENTURES,ENKASH,directed
AXILOR VENTURES,WIZ FREIGHT,directed
AXILOR VENTURES,MEDFIN INDIA,directed
AXIS BANK,FLIPKART,directed
AXIS BANK,RELIANCE JIO,directed
AZURE CAPITAL PARTNERS,SELECTOR,directed
AZURE CAPITAL PARTNERS,K2,directed
B CAPITAL GROUP,COINDCX,directed
B CAPITAL GROUP,FLUTTERWAVE,directed
B CAPITAL GROUP,6SENSE,directed
B CAPITAL GROUP,BIRD,directed
B CAPITAL GROUP,CLARI,directed
B CAPITAL GROUP,FABRIC,directed
B CAPITAL GROUP,BOUNCE,directed
B CAPITAL GROUP,BIZONGO,directed
B CAPITAL GROUP,ICERTIS,directed
B CAPITAL GROUP,FIRSTBASE,directed
B CAPITAL GROUP,ZIPMEX,directed
B CAPITAL GROUP,INNOVACCER,directed
B CAPITAL GROUP,CREDAVENUE,directed
BACKED VC,AMENITIZ,directed
BACKED VC,THE FAMILY,directed
BACKSTAGE CAPITAL,SHEARSHARE,directed
BACKSTAGE CAPITAL,PARTAKE FOODS,directed
BACKSTAGE CAPITAL,HELLO ALICE,directed
BAIC GROUP,DAIMLER,directed
BAIDU,YINTAI GROUP,directed
BAILLIE GIFFORD,ANAPLAN,directed
BAILLIE GIFFORD,EPIC GAMES,directed
BAILLIE GIFFORD,CHARGEPOINT,directed
BAILLIE GIFFORD,CLIMEWORKS,directed
BAILLIE GIFFORD,PROPERTYGURU GROUP,directed
BAILLIE GIFFORD,BREX,directed
BAILLIE GIFFORD,NORTHVOLT,directed
BAILLIE GIFFORD,SPACEX,directed
BAILLIE GIFFORD,LIGHTNING LABS,directed
BAILLIE GIFFORD,COHESITY,directed
BAILLIE GIFFORD,THUMBTACK,directed
BAILLIE GIFFORD,DELHIVERY,directed
BAILLIE GIFFORD,HELLOFRESH,directed
BAILLIE GIFFORD,SPOTIFY,directed
BAILLIE GIFFORD,LILIUM,directed
BAILLIE GIFFORD,GOJO COMPANY,directed
BAILLIE GIFFORD,BLOCKCHAINCOM,directed
BAIN CAPITAL,AXIS BANK,directed
BAIN CAPITAL,ROOFSTOCK,directed
BAIN CAPITAL,MOVEWORKS,directed
BAIN CAPITAL,ATTIVO NETWORKS,directed
BAIN CAPITAL,JUSTWORKS,directed
BAIN CAPITAL,IIFL WEALTH MANAGEMENT,directed
BAIN CAPITAL VENTURES,CLARI,directed
BAIN CAPITAL VENTURES,RAPID7,directed
BAIN CAPITAL VENTURES,ATTIVO NETWORKS,directed
BAIN CAPITAL VENTURES,SMARTRENT,directed
BAIN CAPITAL VENTURES,PARAFI CAPITAL,directed
BAIRD CAPITAL,QUIQ,directed
BALDERTON CAPITAL,CROWDCUBE,directed
BALDERTON CAPITAL,SWEEP,directed
BALDERTON CAPITAL,TALEND,directed
BALDERTON CAPITAL,CORONET,directed
BALDERTON CAPITAL,CREDIT BENCHMARK,directed
BAM VENTURES,STARTENGINE,directed
BANANA CAPITAL,UMBA,directed
BANCO BILBAO VIZCAYA ARGENTARIA,PORSCHE,directed
BANCO BILBAO VIZCAYA ARGENTARIA,SOLARISBANK,directed
BANK OF MONTREAL,CREATIVE DESTRUCTION LAB CDL,directed
BARCLAYS,DAILYPAY,directed
BARCLAYS,REMITLY,directed
BARCLAYS,ANTHEMIS GROUP,directed
BARCLAYS INVESTMENT BANK,TELEFONICA,directed
BARING VOSTOK CAPITAL PARTNERS,YANDEX,directed
BARODA VENTURES,SCIENCE,directed
BARODA VENTURES,AMPLIFYLA,directed
BASE VENTURES,BLAVITY,directed
BASE10 PARTNERS,BREX,directed
BASE10 PARTNERS,COTTAGE,directed
BATTERY VENTURES,PLAYVS,directed
BATTERY VENTURES,HACKERRANK,directed
BATTERY VENTURES,FASTLY,directed
BATTERY VENTURES,COUPA SOFTWARE,directed
BATTERY VENTURES,THETA LAKE,directed
BATTERY VENTURES,COMPT,directed
BATTERY VENTURES,GLASSDOOR,directed
BAY WHARF CAPITAL,WEFUNDER,directed
BAY WHARF CAPITAL,EXPERT DOJO,directed
BBG VENTURES,FIVEABLE,directed
BBVA VENTURES,TELEFONICA,directed
BC PARTNERS,ALTICE USA,directed
BC PARTNERS,IMA GROUP,directed
BECO CAPITAL,CAREEM,directed
BECO CAPITAL,SWVL TECHNOLOGIES,directed
BEENEXT,TRELL,directed
BEENEXT,NOBROKER,directed
BEENEXT,GOTRADE,directed
BEENEXT,MYSHUBHLIFE,directed
BEENEXT,MFINE,directed
BEENEXT,SKUAD,directed
BENHAMOU GLOBAL VENTURES,BOOSTUPAI,directed
BERKSHIRE HATHAWAY,APPLE,directed
BERKSHIRE HATHAWAY,HP,directed
BERKSHIRE HATHAWAY,KROGER,directed
BESSEMER VENTURE PARTNERS,NYDIG,directed
BESSEMER VENTURE PARTNERS,TWITCH,directed
BESSEMER VENTURE PARTNERS,CHOCO,directed
BESSEMER VENTURE PARTNERS,MOGLIX,directed
BESSEMER VENTURE PARTNERS,ELECTRIC,directed
BESSEMER VENTURE PARTNERS,AXONIUS,directed
BESSEMER VENTURE PARTNERS,OPTIMAL DYNAMICS,directed
BESSEMER VENTURE PARTNERS,INTERCOM,directed
BESSEMER VENTURE PARTNERS,RUPIFI,directed
BESSEMER VENTURE PARTNERS,ALLOY,directed
BESSEMER VENTURE PARTNERS,SUBJECT,directed
BESSEMER VENTURE PARTNERS,ROCKET LAB,directed
BESSEMER VENTURE PARTNERS,SHOPIFY,directed
BESSEMER VENTURE PARTNERS,LAUNCHDARKLY,directed
BESSEMER VENTURE PARTNERS,SERVICETITAN,directed
BESSEMER VENTURE PARTNERS,TILE,directed
BESSEMER VENTURE PARTNERS,PAGERDUTY,directed
BESSEMER VENTURE PARTNERS,PROCORE,directed
BESSEMER VENTURE PARTNERS,GUILD EDUCATION,directed
BESSEMER VENTURE PARTNERS,OPTIBUS,directed
BESSEMER VENTURE PARTNERS,YOTPO,directed
BESSEMER VENTURE PARTNERS,LIVSPACE,directed
BESSEMER VENTURE PARTNERS,MINDBODY,directed
BESSEMER VENTURE PARTNERS,PRODUCTBOARD,directed
BESSEMER VENTURE PARTNERS,COMBOCURVE,directed
BESSEMER VENTURE PARTNERS,MEDIBUDDY,directed
BESSEMER VENTURE PARTNERS,AUTH0,directed
BESSEMER VENTURE PARTNERS,CAPTIVATEIQ,directed
BESSEMER VENTURE PARTNERS,GOOD TECHNOLOGY,directed
BETHNAL GREEN VENTURES,BOOSTUPAI,directed
BETTER CAPITAL,LAST9,directed
BETTER CAPITAL,SKILL LYNC,directed
BIENVILLE CAPITAL,REPUBLIC,directed
BIENVILLE CAPITAL,CURRENT,directed
BIENVILLE CAPITAL,PROCORE,directed
BIENVILLE CAPITAL,54GENE,directed
BILL MELINDA GATES FOUNDATION,NOVARTIS,directed
BINANCE,REPUBLIC,directed
BIOMEDICAL ADVANCED RESEARCH AND DEVELOPMENT AUTHORITY BARDA,CORNING,directed
BITKRAFT VENTURES,COMMUNITY GAMING,directed
BITMAIN,DORAHACKS,directed
BITMART,BOBA NETWORK,directed
BLACKROCK,WAGESTREAM,directed
BLACKROCK,WEWORK,directed
BLACKROCK,GRUBMARKET,directed
BLACKROCK,AIRTEL,directed
BLACKROCK,PUPPET,directed
BLACKROCK,EPIC GAMES,directed
BLACKROCK,GRAMMARLY,directed
BLACKROCK,CLARIFY HEALTH SOLUTIONS,directed
BLACKROCK,CHEWY,directed
BLACKROCK,GENESYS,directed
BLACKROCK,PLANET,directed
BLACKROCK,SONDER,directed
BLACKROCK,ROCKET LAB,directed
BLACKROCK,VOLOCOPTER,directed
BLACKROCK,ENVESTNET,directed
BLACKROCK,SNAPDEAL,directed
BLACKROCK,EXO,directed
BLACKROCK,FUNDING CIRCLE,directed
BLACKROCK,SNORKEL AI,directed
BLACKROCK,AUTOMATTIC,directed
BLACKROCK,ZUORA,directed
BLACKROCK,UNQORK,directed
BLACKROCK,RIVIAN,directed
BLACKROCK,SAMBANOVA SYSTEMS,directed
BLACKROCK,LILIUM,directed
BLACKSOIL,BLUSMART MOBILITY,directed
BLACKSOIL,GOQII,directed
BLACKSTONE GROUP,NCR,directed
BLACKSTONE GROUP,REFINITIV,directed
BLACKSTONE GROUP,GREAT HILL PARTNERS,directed
BLOCKCHAIN CAPITAL,COINBASE,directed
BLOCKCHAIN CAPITAL,WYRE,directed
